index,country,iso_a3,type,country_popup,inc_popup,prev_popup,UCCD_popup,hosp_popup,surg_popup,epi_stage_popup,WESP_18_class_popup,inc_IBD,inc_CD,inc_UC,inc_IBD_popup,inc_CD_popup,inc_UC_popup,prev_IBD,prev_CD,prev_UC,epi_stage,pop_based,prev_most_recent,prev_AAPC,inc_most_recent,inc_AAPC,WESP_18_class,UN_geoscheme,Notes,DeveloperNotes
1,Algeria,DZA,country,"<p style=""font-size: 150%""><b>Algeria</b></p>","<p style=""font-size: 125%""><b>Constantine:</b> In 2003, the incidence of Crohn’s disease was 3.45/100,000, which rose to 9.83/100,000 in 2007. Similarly, in 2003, the incidence of ulcerative colitis was 2.76/100,000, which rose to 5.12/100,000 in 2007 (<a href='link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",27.55403308,5.201304375,12.8106007,"<p style=""font-size: 125%"">Overall incidence: 27.55<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 5.2<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 12.81<br></p>",43.80810599,14.73306908,27.50053843,E,notpop,,,,,developing,,,
2,Argentina,ARG,country,"<p style=""font-size: 150%""><b>Argentina</b></p>","<p style=""font-size: 125%""><b>General Pueyrredón Partido:</b> In 1993, the incidence of ulcerative colitis was 1.6/100,000. Over the 1987–1993 period, the incidence of ulcerative colitis ranged between 0.8–3.2/100,000. During this same period, only a single case of Crohn’s disease was reported for the region (<a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a>).<br><br>

References: <a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a></p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developing</p>",14.19819966,7.061634086,18.84965634,"<p style=""font-size: 125%"">Overall incidence: 14.2<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 7.06<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 18.85<br></p>",4.565091024,29.24001978,14.57313043,AI,pop,,,,,developing,,,
3,Australia,AUS,country,"<p style=""font-size: 150%""><b>Australia</b></p>","<p style=""font-size: 125%""><b>Barwon:</b> In 2007, the incidence of Crohn’s disease was 17.4/100,000, which fell to 14.7/100,000 in 2010. Similarly, in 2007, the incidence of ulcerative colitis was 11.2/100,000, which fell to 7.5/100,000 in 2010 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).<br><br>

<b>Geelong:</b> In 2007, the incidence of Crohn’s disease 29.3/100,000, which fell to 12.96/100,000 in 2011. Similarly, in 2007, the incidence of ulcerative colitis was 17.4/100,000, which fell to 9.32/100,000 in 2011, and was as low as 7.47/100,000 in 2010. (<a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, & <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>)<br><br>

<b>Hunter Valley:</b> In 1977, the incidence of Crohn’s disease was estimated at 1.38/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>).<br><br>

<b>Melbourne:</b> In 2011, the incidence of Crohn’s disease was 16/100,000 and the incidence of ulcerative colitis was 11.4/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).<br><br>

References: <a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>, <a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>, <a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>, <a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a></p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",16.24019042,16.42939458,15.27980804,"<p style=""font-size: 125%"">Overall incidence: 16.24<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 16.43<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 15.28<br></p>",16.26648518,6.831455238,10.53538374,CP,pop,,,,,developed,,,example
4,Austria,AUT,country,"<p style=""font-size: 150%""><b>Austria</b></p>","<p style=""font-size: 125%""><b>Styria:</b> In 1997, the incidence of Crohn’s disease was 5.78/100,000, which rose to 6.57/100,000 in 2007 and was as high as 8.05/100,000 in 2005. In 1997, the incidence of ulcerative colitis was 3.58/100,000, which rose to 4.9/100,000 in 2007, and was as high as 6.08/100,000 in 2005 (<a href='https://academic.oup.com/ecco-jcc/article/7/1/58/400172?login=false' target='_blank'>Petritsch 2013</a>).<br><br>

References: <a href='https://academic.oup.com/ecco-jcc/article/7/1/58/400172?login=false' target='_blank'>Petritsch 2013</a></p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: developed</p>",23.14276596,14.76429144,11.26690173,"<p style=""font-size: 125%"">Overall incidence: 23.14<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 14.76<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 11.27<br></p>",1.495216808,14.56225354,22.18279767,E,pop,,,,,developed,,,
5,Bahrain,BHR,country,"<p style=""font-size: 150%""><b>Bahrain</b></p>","<p style=""font-size: 125%""></p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",25.40966464,15.7484849,17.31897379,"<p style=""font-size: 125%"">Overall incidence: 25.41<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 15.75<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 17.32<br></p>",2.967749151,25.6266643,3.90366705,E,pop,,,,,developing,,,
6,Barbados,BRB,country,"<p style=""font-size: 150%""><b>Barbados</b></p>","<p style=""font-size: 125%""></p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developing</p>",23.39884281,11.9413442,15.31488958,"<p style=""font-size: 125%"">Overall incidence: 23.4<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 11.94<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 15.31<br></p>",23.53842354,19.24533618,7.02310728,AI,pop,,,,,developing,,,
7,Belgium,BEL,country,"<p style=""font-size: 150%""><b>Belgium</b></p>","<p style=""font-size: 125%""><b>Brussels:</b> In 1992, the incidence of Crohn’s disease was 3.7/100,000 and the incidence of ulcerative colitis was 3.100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/8686415/' target='_blank'>Van Gossum 1996</a>).<br><br>

<b>Liege:</b> In 1993, the incidence of Crohn’s disease was 5.5/100,000 and was 4.5/100,000 in 1995. In 1993, the incidence of ulcerative colitis was 3.5/100,000 and was 3.1/100,000 in 1995 (<a href='https://pubmed.ncbi.nlm.nih.gov/9923091/' target='_blank'>Latour 1998</a>).</p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",21.13644261,4.436797532,16.05330986,"<p style=""font-size: 125%"">Overall incidence: 21.14<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 4.44<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 16.05<br></p>",20.18728901,19.05531094,13.98560346,CP,pop,,,,,developed,,,
8,Bosnia and Herzegovina,BIH,country,"<p style=""font-size: 150%""><b>Bosnia and Herzegovina</b></p>","<p style=""font-size: 125%""><b>National:</b> In 2000, the incidence of Crohn’s disease was estimated at 2.3/100,000 and the incidence of ulcerative colitis was estimated at 3.43/100,000 (<a href='journals.lww.com/eurojgh/Abstract/2010/03000/Ulcerative_colitis_in_the_Tuzla_region_of_Bosnia.13.aspx' target='_blank'>Salkic 2010</a>).</p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: in transition</p>",23.21498163,11.00719888,0.652304549,"<p style=""font-size: 125%"">Overall incidence: 23.21<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 11.01<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 0.65<br></p>",19.28561053,20.11270057,16.72802144,AI,notpop,,,,,in transition,,,
9,Brazil,BRA,country,"<p style=""font-size: 150%""><b>Brazil</b></p>","<p style=""font-size: 125%""><b>Espirito Santo:</b> In 2012, the incidence of Crohn’s disease was 2.4/100,000 and the incidence of ulcerative colitis was 5.3/100,000 (<a href='bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-018-0822-y' target='_blank'>Lima-Martins 2018</a>).<br><br>

<b>Piauí State:</b> In 1988, the incidence of Crohn’s disease was 0.08/100,000 with no cases of ulcerative colitis. In 2012, the incidence of both diseases had risen to 0.61/100,000 and 0.65/100,000 for Crohn’s disease and ulcerative colitis, respectively (<a href='https://www.wjgnet.com/1007-9327/full/v21/i4/1197.htm' target='_blank'>Parente 2015</a>).<br><br>

<b>São Paulo:</b> In 1988, the incidence of Crohn’s disease was 0.24/100,000 and the incidence of ulcerative colitis was 0.74/100,000 (<a href='https://www.scielo.br/j/ag/a/h6Pp3cLPLzzRQMPYWDWQnvy/?lang=en' target='_blank'>Victoria 2009</a>). By 2015, the incidence of both diseases had risen to 5.48/100,000 and 8/100,000 for Crohn’s disease and ulcerative colitis, respectively (<a href='https://www.dovepress.com/inflammatory-bowel-disease-epidemiology-in-satildeo-paulo-state-brazil-peer-reviewed-fulltext-article-CEG' target='_blank'>Gasparini 2018</a>).<br><br>

References:<a href='https://www.scielo.br/j/ag/a/h6Pp3cLPLzzRQMPYWDWQnvy/?lang=en' target='_blank'> Victoria 2009</a>,<a href='https://www.wjgnet.com/1007-9327/full/v21/i4/1197.htm' target='_blank'> Parente 2015</a>, <a href='https://www.dovepress.com/inflammatory-bowel-disease-epidemiology-in-satildeo-paulo-state-brazil-peer-reviewed-fulltext-article-CEG' target='_blank'>Gasparini 2018</a>, <a href='bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-018-0822-y' target='_blank'>Lima Martins 2018</a></p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",29.57935626,15.74461734,13.23796155,"<p style=""font-size: 125%"">Overall incidence: 29.58<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 15.74<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 13.24<br></p>",28.61746633,11.70248146,4.081064074,E,pop,,,,,developing,,,example
10,Brunei,BRN,country,"<p style=""font-size: 150%""><b>Brunei</b></p>","<p style=""font-size: 125%""><b>National:</b> In 2012, the incidence of Crohn’s disease was estimated at 0.41/100,000 and the incidence of ulcerative colitis was estimated at 0.21/100,000 (<a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>).</p>","<p style=""font-size: 125%"">Prevalence:<br>Country info goes here.</p>","<p style=""font-size: 125%"">UC:CD Ratio:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Hospitalization:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Surgery:<br>Country info goes here.</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developing</p>",11.61131404,9.486543887,10.59027395,"<p style=""font-size: 125%"">Overall incidence: 11.61<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 9.49<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 10.59<br></p>",18.26802353,22.42027241,24.91701779,AI,notpop,,,,,developing,,,
